date,vegetableName,price,units,id,shopingMallPrice,retailPrice
26-01-2022,Onion Big,40,1kg,onionBig,48 - 66,46 - 51
26-01-2022,Onion Small,63,1kg,onionSmall,76 - 104,72 - 80
26-01-2022,Tomato,19,1kg,tomato,23 - 31,22 - 24
26-01-2022,Green Chilli,43,1kg,greenChili,52 - 71,49 - 55
26-01-2022,Beetroot,49,1kg,beetroot,59 - 81,56 - 62
26-01-2022,Potato,22,1kg,potato,26 - 36,25 - 28
26-01-2022,Raw Banana (Plantain),6,1kg,plantain,07-Oct,07-Aug
26-01-2022,Amaranth Leaves,16,1kg,amaranthLeaves,19 - 26,18 - 20
26-01-2022,Amla,50,1kg,amla,60 - 83,58 - 64
26-01-2022,Ash gourd,21,1kg,ashGourd,25 - 35,24 - 27
26-01-2022,Baby Corn,55,1kg,babyCorn,66 - 91,63 - 70
26-01-2022,Banana Flower,17,1kg,bananaFlower,20 - 28,20 - 22
26-01-2022,Capsicum,41,1kg,capsicum,49 - 68,47 - 52
26-01-2022,Bitter Gourd,34,1kg,bitterGourd,41 - 56,39 - 43
26-01-2022,Bottle Gourd,24,1kg,bottleGourd,29 - 40,28 - 30
26-01-2022,Butter Beans,46,1kg,butterBeans,55 - 76,53 - 58
26-01-2022,Broad Beans,44,1kg,broadBeans,53 - 73,51 - 56
26-01-2022,Cabbage,30,1kg,cabbage,36 - 50,35 - 38
26-01-2022,Carrot,70,1kg,carrot,84 - 116,81 - 89
26-01-2022,Cauliflower,44,1kg,cauliflower,53 - 73,51 - 56
26-01-2022,Cluster beans,42,1kg,clusterBeans,50 - 69,48 - 53
26-01-2022,Coconut,34,1kg,coconut,41 - 56,39 - 43
26-01-2022,Colocasia Leaves,13,1kg,colocasiaLeaves,16 - 21,15 - 17
26-01-2022,Colocasia,25,1kg,colocasia,30 - 41,29 - 32
26-01-2022,Coriander Leaves,12,1kg,corianderLeaves,14 - 20,14 - 15
26-01-2022,Corn,33,1kg,corn,40 - 54,38 - 42
26-01-2022,Cucumber,13,1kg,cucumber,16 - 21,15 - 17
26-01-2022,Curry Leaves,35,1kg,curryLeaves,42 - 58,40 - 44
